"Input Variable","Variable Level","Number of Missing Values","Percent Missing","Imputable","Minimum","Maximum","Mean","Midrange","Standard Deviation","Skewness","Kurtosis","Variable Label"
"Area","INTERVAL","0","0","0","20,420","254,616","53,131.7503","137,518","29,519.1753","2.9800","10.9970",""
"AspectRation","INTERVAL","0","0","0","1.0364","2.3889","1.5830","1.7126","0.2470","0.5703","0.0883",""
"Compactness","INTERVAL","0","0","0","0.6454","0.9816","0.8000","0.8135","0.0619","0.0485","-0.2220",""
"ConvexArea","INTERVAL","0","0","0","20,684","263,261","53,858.3668","141,972.5000","29,987.3450","2.9696","10.9423",""
"Eccentricity","INTERVAL","0","0","0","0.2628","0.9082","0.7506","0.5855","0.0926","-1.0792","1.4030",""
"EquivDiameter","INTERVAL","0","0","0","161.2438","569.3744","253.2262","365.3091","59.3833","1.9689","5.2921",""
"Extent","INTERVAL","0","0","0","0.5668","0.8662","0.7500","0.7165","0.0488","-0.9009","0.6543",""
"MajorAxisLength","INTERVAL","0","0","0","183.6012","738.8602","320.3318","461.2307","86.0318","1.3818","2.6509",""
"MinorAxisLength","INTERVAL","0","0","0","122.5127","460.1985","202.4253","291.3556","45.1011","2.2454","6.6778",""
"Perimeter","INTERVAL","0","0","0","524.9320","1,985.3700","855.7991","1,255.1510","215.1554","1.6498","3.7003",""
"roundness","INTERVAL","0","0","0","0.4896","0.9907","0.8734","0.7402","0.0595","-0.6421","0.4417",""
"ShapeFactor1","INTERVAL","0","0","0","0.0028","0.0105","0.0066","0.0066","0.0011","-0.5448","0.7182",""
"ShapeFactor2","INTERVAL","0","0","0","0.0006","0.0037","0.0017","0.0021","0.0006","0.3022","-0.8593",""
"ShapeFactor3","INTERVAL","0","0","0","0.4165","0.9636","0.6438","0.6900","0.0994","0.2545","-0.1354",""
"ShapeFactor4","INTERVAL","0","0","0","0.9477","0.9997","0.9950","0.9737","0.0045","-2.8709","13.9413",""
"Solidity","INTERVAL","0","0","0","0.9192","0.9944","0.9871","0.9568","0.0048","-2.6930","14.4165",""
"STD_Area","INTERVAL","0","0","0","-1.1082","6.8255","0.0000","2.8587","1.0000","2.9800","10.9970","Transformed Area"
"STD_AspectRation","INTERVAL","0","0","0","-2.2129","3.2631","0.0000","0.5251","1.0000","0.5703","0.0883","Transformed AspectRation"
"STD_Compactness","INTERVAL","0","0","0","-2.4970","2.9343","0.0000","0.2186","1.0000","0.0485","-0.2220","Transformed Compactness"
"STD_ConvexArea","INTERVAL","0","0","0","-1.1063","6.9830","0.0000","2.9384","1.0000","2.9696","10.9423","Transformed ConvexArea"
"STD_Eccentricity","INTERVAL","0","0","0","-5.2671","1.7011","0.0000","-1.7830","1.0000","-1.0792","1.4030","Transformed Eccentricity"
"STD_EquivDiameter","INTERVAL","0","0","0","-1.5490","5.3239","0.0000","1.8874","1.0000","1.9689","5.2921","Transformed EquivDiameter"
"STD_Extent","INTERVAL","0","0","0","-3.7519","2.3805","0.0000","-0.6857","1.0000","-0.9009","0.6543","Transformed Extent"
"STD_MajorAxisLength","INTERVAL","0","0","0","-1.5893","4.8648","0.0000","1.6378","1","1.3818","2.6509","Transformed MajorAxisLength"
"STD_MinorAxisLength","INTERVAL","0","0","0","-1.7719","5.7154","0.0000","1.9718","1","2.2454","6.6778","Transformed MinorAxisLength"
"STD_Perimeter","INTERVAL","0","0","0","-1.5378","5.2500","0.0000","1.8561","1.0000","1.6498","3.7003","Transformed Perimeter"
"STD_roundness","INTERVAL","0","0","0","-6.4463","1.9699","0.0000","-2.2382","1.0000","-0.6421","0.4417","Transformed roundness"
"STD_ShapeFactor1","INTERVAL","0","0","0","-3.3545","3.4525","0.0000","0.0490","1.0000","-0.5448","0.7182","Transformed ShapeFactor1"
"STD_ShapeFactor2","INTERVAL","0","0","0","-1.9294","3.2652","0.0000","0.6679","1.0000","0.3022","-0.8593","Transformed ShapeFactor2"
"STD_ShapeFactor3","INTERVAL","0","0","0","-2.2871","3.2184","0.0000","0.4657","1.0000","0.2545","-0.1354","Transformed ShapeFactor3"
"STD_ShapeFactor4","INTERVAL","0","0","0","-10.5573","1.0444","0.0000","-4.7565","1.0000","-2.8709","13.9413","Transformed ShapeFactor4"
"STD_Solidity","INTERVAL","0","0","0","-14.2183","1.5259","0.0000","-6.3462","1.0000","-2.6930","14.4165","Transformed Solidity"
