"Transformed Variable","Method","Input Variable","Formula","Variable Level","Type","Variable Label"
"STD_Area","STANDARDIZE","Area","('Area'n-53131.750276)/29519.175336","INTERVAL","N","Transformed Area"
"STD_AspectRation","STANDARDIZE","AspectRation","('AspectRation'n-1.5829502332)/0.2469785338","INTERVAL","N","Transformed AspectRation"
"STD_Compactness","STANDARDIZE","Compactness","('Compactness'n-0.799954036)/0.0619088142","INTERVAL","N","Transformed Compactness"
"STD_ConvexArea","STANDARDIZE","ConvexArea","('ConvexArea'n-53858.36681)/29987.344998","INTERVAL","N","Transformed ConvexArea"
"STD_Eccentricity","STANDARDIZE","Eccentricity","('Eccentricity'n-0.7506132721)/0.0926204237","INTERVAL","N","Transformed Eccentricity"
"STD_EquivDiameter","STANDARDIZE","EquivDiameter","('EquivDiameter'n-253.22618563)/59.383300114","INTERVAL","N","Transformed EquivDiameter"
"STD_Extent","STANDARDIZE","Extent","('Extent'n-0.7499626848)/0.0488270163","INTERVAL","N","Transformed Extent"
"STD_MajorAxisLength","STANDARDIZE","MajorAxisLength","('MajorAxisLength'n-320.33176894)/86.03181629","INTERVAL","N","Transformed MajorAxisLength"
"STD_MinorAxisLength","STANDARDIZE","MinorAxisLength","('MinorAxisLength'n-202.42533833)/45.101134472","INTERVAL","N","Transformed MinorAxisLength"
"STD_Perimeter","STANDARDIZE","Perimeter","('Perimeter'n-855.79911084)/215.15544452","INTERVAL","N","Transformed Perimeter"
"STD_roundness","STANDARDIZE","roundness","('roundness'n-0.8734063257)/0.0595358083","INTERVAL","N","Transformed roundness"
"STD_ShapeFactor1","STANDARDIZE","ShapeFactor1","('ShapeFactor1'n-0.0065593658)/0.0011272345","INTERVAL","N","Transformed ShapeFactor1"
"STD_ShapeFactor2","STANDARDIZE","ShapeFactor2","('ShapeFactor2'n-0.0017158702)/0.000596923","INTERVAL","N","Transformed ShapeFactor2"
"STD_ShapeFactor3","STANDARDIZE","ShapeFactor3","('ShapeFactor3'n-0.6437586915)/0.0993656223","INTERVAL","N","Transformed ShapeFactor3"
"STD_ShapeFactor4","STANDARDIZE","ShapeFactor4","('ShapeFactor4'n-0.9950261116)/0.0044839862","INTERVAL","N","Transformed ShapeFactor4"
"STD_Solidity","STANDARDIZE","Solidity","('Solidity'n-0.9870967062)/0.0047720684","INTERVAL","N","Transformed Solidity"
