"Iteration","Parameter","Variable Label","Proportion of Variance Explained","Incremental Variance Explained"
"1","Area","Area","0.1546","0"
"2","MajorAxisLength","MajorAxisLength","0.2946","0.1400"
"3","Compactness","Compactness","0.4133","0.1186"
"4","ShapeFactor3","ShapeFactor3","0.5225","0.1092"
"5","Perimeter","Perimeter","0.5953","0.0728"
"6","ShapeFactor1","ShapeFactor1","0.6429","0.0476"
"7","Eccentricity","Eccentricity","0.6548","0.0120"
"8","MinorAxisLength","MinorAxisLength","0.6646","0.0097"
"9","AspectRation","AspectRation","0.6724","0.0078"
"10","EquivDiameter","EquivDiameter","0.6795","0.0071"
"11","ShapeFactor2","ShapeFactor2","0.6835","0.0040"
"12","roundness","roundness","0.6855","0.0020"
"13","ConvexArea","ConvexArea","0.6871","0.0016"
"14","ShapeFactor4","ShapeFactor4","0.6883","0.0012"
"15","Solidity","Solidity","0.6895","0.0012"
"16","Extent","Extent","0.6901","0.0007"
